countyFIPS,county,stateFIPS,state,TOT_POP,TOT_HH,PCT_CHLDN,PCT_YOUTH,PCT_AD,PCT_SR,PCT_WHT,PCT_NWHT,MED_HH_INC,PCT_BLW_POV_RT,PCT_AGRI,PCT_CONST,PCT_MFG,PCT_WHLS_TRA,PCT_RET_TRA,PCT_TRANS,PCT_INFO,PCT_FIN,PCT_PRO,PCT_EDU,PCT_REC,PCT_OTHERS,PCT_PUB_ADMIN
72119,R�oGrandeMunicipio,72,PR,50550,null,16,14.2,51.2,18.5,55.3,44.7,22509,33.9,1.1,6.8,7.1,1.4,14.7,3.9,1.7,4.7,8.4,19.3,13.8,5.6,11.5
72121,SabanaGrandeMunicipio,72,PR,23054,null,16.5,13.7,48.5,21.4,71.4,28.6,16846,46.2,2.8,2.7,11.3,0.6,12.1,1.8,0.2,4,5.5,31.7,9.7,5,12.5
72123,SalinasMunicipio,72,PR,28633,null,17.9,14.8,49.4,17.9,57.9,42.1,16887,50.2,6,4.7,13.2,1.1,13.7,4.1,0.7,2.2,7.6,20.8,14,4.6,7.3
72125,SanGerm�nMunicipio,72,PR,32114,null,15.8,14.4,46.9,22.9,58.8,41.2,15619,45.9,2.9,4.2,12.7,2.9,10.9,4.4,1,2.6,6.5,28.5,11.5,3.6,8.5
72127,SanJuanMunicipio,72,PR,344606,null,15.1,13.4,50.4,21.1,72.5,27.5,22146,38.3,0.3,5.8,3.6,3.2,11.1,3.9,2.4,7.7,13.3,23.2,10.3,7.7,7.6
72129,SanLorenzoMunicipio,72,PR,37873,null,15.9,13.8,53.1,17.3,81.1,18.9,18821,42.2,1.7,7.2,14.4,2.5,16.8,3.2,1.2,4.4,6.1,22.8,9.7,3.2,6.8
72131,SanSebasti�nMunicipio,72,PR,37964,null,16.2,12.8,49.5,21.5,72,28,14812,50.9,3.7,6.1,10.6,2.7,13.7,4.5,0.8,5.1,5.3,24.9,9.4,5.7,7.5
72133,SantaIsabelMunicipio,72,PR,22066,null,18.7,15.2,51,15.2,56.6,43.4,17640,46.1,5.6,7.4,15.1,0.9,9,1.1,0.8,3.9,6.6,25.8,8.4,5,10.6
72135,ToaAltaMunicipio,72,PR,73405,null,17.4,15.2,54.4,12.9,85.6,14.4,28863,28.2,0.3,4.2,6.5,5,14.4,4.2,2.2,8.8,9.2,23.9,9.7,4.4,7.4
72137,ToaBajaMunicipio,72,PR,79726,null,16.4,13.9,51.7,17.9,77,23,24899,32.9,0.1,4.1,5.3,5.2,14.4,5.7,2.7,6.7,10.1,19.7,9.4,5.8,10.7
72139,TrujilloAltoMunicipio,72,PR,67780,null,16.6,13.8,52.2,17.4,82.7,17.3,31193,27.4,0.2,5.8,4.2,2.8,13.6,3.9,2.7,8.9,11,25.2,8.5,6.1,7.2
72141,UtuadoMunicipio,72,PR,29402,null,16.4,13.4,50.2,20,63.2,36.8,16533,46.4,4.4,8.5,8.9,1.3,15.5,2.8,1.1,3.5,6.5,23,8.4,4,12
72143,VegaAltaMunicipio,72,PR,37724,null,17.9,14.1,51,17,77.8,22.2,18895,41.9,0.2,5.1,12.7,2.1,15.7,2.9,2.2,6.3,9.3,21,9.9,4.3,8
72145,VegaBajaMunicipio,72,PR,53371,null,16.6,13.7,51.2,18.7,86.5,13.5,19096,39.6,1.2,5.2,13.9,3.8,9.3,3.5,2,4.4,6.7,25.8,10.4,6.9,6.8
72147,ViequesMunicipio,72,PR,8771,null,18.3,10.1,50.8,20.7,61.6,38.4,15539,40.5,0.6,8.8,2.5,0,5.4,6.6,0,3.9,18.9,15.4,15.4,1,21.6
72149,VillalbaMunicipio,72,PR,22993,null,17.7,15.8,50.7,15.8,82,18,19855,43.3,2.9,6.4,15.4,2.2,10.6,3.6,0.6,4,8.2,23.1,6.5,4.9,11.6
72151,YabucoaMunicipio,72,PR,34149,null,16.2,13.7,51.4,18.6,31.7,68.3,16013,47.6,1,4.8,20.7,1.3,9.6,3.1,1.5,4,8.7,25.9,7.4,2,10
72153,YaucoMunicipio,72,PR,36439,null,15.9,12.8,51,20.3,78.5,21.5,14954,47.1,5.4,5.4,8.5,1.7,10.2,2.9,1.1,5.2,7,29.5,7.3,3.1,12.7
