name,Region,Last Update,Confirmed,Deaths,Recovered,Date
Guizhou,Mainland China,2020-01-25 12:00:00,5,0,0,01-25-2020
Hong Kong,Hong Kong,2020-01-25 12:00:00,5,0,0,01-25-2020
Australia,Australia,2020-01-25 12:00:00,4,0,0,01-25-2020
Jilin,Mainland China,2020-01-25 12:00:00,4,0,0,01-25-2020
Ningxia,Mainland China,2020-01-25 12:00:00,4,0,0,01-25-2020
Xinjiang Uygur,Mainland China,2020-01-25 12:00:00,4,0,0,01-25-2020
France,France,2020-01-25 12:00:00,3,0,0,01-25-2020
Malaysia,Malaysia,2020-01-25 12:00:00,3,0,0,01-25-2020
Singapore,Singapore,2020-01-25 12:00:00,3,0,0,01-25-2020
South Korea,South Korea,2020-01-25 12:00:00,3,0,0,01-25-2020
Taiwan,Taiwan,2020-01-25 12:00:00,3,0,0,01-25-2020
Japan,Japan,2020-01-25 12:00:00,2,0,0,01-25-2020
Macau,Macau,2020-01-25 12:00:00,2,0,0,01-25-2020
Vietnam,Vietnam,2020-01-25 12:00:00,2,0,0,01-25-2020
Illinois,USA,2020-01-25 12:00:00,1,0,0,01-25-2020
Nepal,Nepal,2020-01-25 12:00:00,1,0,0,01-25-2020
Qinghai,Mainland China,2020-01-25 12:00:00,1,0,0,01-25-2020
Washington,USA,2020-01-25 12:00:00,1,0,0,01-25-2020
Hubei,Mainland China,2020-01-26 23:00:00,1423,76,44,01-26-2020
Guangdong,Mainland China,2020-01-26 23:00:00,146,0,2,01-26-2020
Henan,Mainland China,2020-01-26 23:00:00,128,1,0,01-26-2020
Zhejiang,Mainland China,2020-01-26 23:00:00,128,0,1,01-26-2020
Chongqing,Mainland China,2020-01-26 23:00:00,110,0,0,01-26-2020
Hunan,Mainland China,2020-01-26 23:00:00,100,0,0,01-26-2020
Anhui,Mainland China,2020-01-26 23:00:00,70,0,0,01-26-2020
Sichuan,Mainland China,2020-01-26 23:00:00,69,0,0,01-26-2020
Beijing,Mainland China,2020-01-26 23:00:00,68,0,2,01-26-2020
Shandong,Mainland China,2020-01-26 23:00:00,63,0,0,01-26-2020
Shanghai,Mainland China,2020-01-26 23:00:00,53,1,1,01-26-2020
Jiangxi,Mainland China,2020-01-26 23:00:00,48,0,0,01-26-2020
Jiangsu,Mainland China,2020-01-26 23:00:00,47,0,1,01-26-2020
Guangxi,Mainland China,2020-01-26 23:00:00,46,0,0,01-26-2020
Fujian,Mainland China,2020-01-26 23:00:00,35,0,0,01-26-2020
Liaoning,Mainland China,2020-01-26 23:00:00,23,0,0,01-26-2020
Hainan,Mainland China,2020-01-26 23:00:00,22,0,0,01-26-2020
Shaanxi,Mainland China,2020-01-26 23:00:00,22,0,0,01-26-2020
Heilongjiang,Mainland China,2020-01-26 23:00:00,21,1,0,01-26-2020
Yunnan,Mainland China,2020-01-26 23:00:00,19,0,0,01-26-2020
Hebei,Mainland China,2020-01-26 23:00:00,18,1,0,01-26-2020
Gansu,Mainland China,2020-01-26 23:00:00,14,0,0,01-26-2020
Tianjin,Mainland China,2020-01-26 23:00:00,14,0,0,01-26-2020
Shanxi,Mainland China,2020-01-26 23:00:00,13,0,0,01-26-2020
Nei Mongol,Mainland China,2020-01-26 23:00:00,11,0,0,01-26-2020
Hong Kong,Hong Kong,2020-01-26 23:00:00,8,0,0,01-26-2020
Thailand,Thailand,2020-01-26 23:00:00,8,0,2,01-26-2020
Guizhou,Mainland China,2020-01-26 23:00:00,7,0,0,01-26-2020
Jilin,Mainland China,2020-01-26 23:00:00,6,0,0,01-26-2020
Macau,Macau,2020-01-26 23:00:00,6,0,0,01-26-2020
Xinjiang Uygur,Mainland China,2020-01-26 23:00:00,5,0,0,01-26-2020
Australia,Australia,2020-01-26 23:00:00,4,0,0,01-26-2020
Japan,Japan,2020-01-26 23:00:00,4,0,1,01-26-2020
Malaysia,Malaysia,2020-01-26 23:00:00,4,0,0,01-26-2020
Ningxia,Mainland China,2020-01-26 23:00:00,4,0,0,01-26-2020
Qinghai,Mainland China,2020-01-26 23:00:00,4,0,0,01-26-2020
Singapore,Singapore,2020-01-26 23:00:00,4,0,0,01-26-2020
Taiwan,Taiwan,2020-01-26 23:00:00,4,0,0,01-26-2020
France,France,2020-01-26 23:00:00,3,0,0,01-26-2020
South Korea,South Korea,2020-01-26 23:00:00,3,0,0,01-26-2020
California,USA,2020-01-26 23:00:00 * CTY: LA 1; Orange 1,2,0,0,01-26-2020
Vietnam,Vietnam,2020-01-26 23:00:00,2,0,0,01-26-2020
Arizona,USA,2020-01-26 23:00:00,1,0,0,01-26-2020
Canada,Canada,2020-01-26 23:00:00,1,0,0,01-26-2020
Illinois,USA,2020-01-26 23:00:00,1,0,0,01-26-2020
Nepal,Nepal,2020-01-26 23:00:00,1,0,0,01-26-2020
Washington,USA,2020-01-26 23:00:00,1,0,0,01-26-2020
Hubei,Mainland China,2020-01-27 20:30:00,2714,100,47,01-27-2020
Zhejiang,Mainland China,2020-01-27 20:30:00,173,0,1,01-27-2020
Henan,Mainland China,2020-01-27 20:30:00,168,1,0,01-27-2020
Guangdong,Mainland China,2020-01-27 20:30:00,151,0,4,01-27-2020
Chongqing,Mainland China,2020-01-27 20:30:00,132,0,0,01-27-2020
Anhui,Mainland China,2020-01-27 20:30:00,106,0,0,01-27-2020
Hunan,Mainland China,2020-01-27 20:30:00,100,0,0,01-27-2020
Sichuan,Mainland China,2020-01-27 20:30:00,90,0,0,01-27-2020
Shandong,Mainland China,2020-01-27 20:30:00,87,0,0,01-27-2020
Beijing,Mainland China,2020-01-27 20:30:00,80,1,2,01-27-2020
Jiangxi,Mainland China,2020-01-27 20:30:00,72,0,2,01-27-2020
Jiangsu,Mainland China,2020-01-27 20:30:00,70,0,1,01-27-2020
Shanghai,Mainland China,2020-01-27 20:30:00,66,1,3,01-27-2020
Fujian,Mainland China,2020-01-27 20:30:00,59,0,0,01-27-2020
Guangxi,Mainland China,2020-01-27 20:30:00,51,0,0,01-27-2020
Shaanxi,Mainland China,2020-01-27 20:30:00,35,0,0,01-27-2020
Hainan,Mainland China,2020-01-27 20:30:00,33,1,0,01-27-2020
Hebei,Mainland China,2020-01-27 20:30:00,33,1,0,01-27-2020
Heilongjiang,Mainland China,2020-01-27 20:30:00,30,1,0,01-27-2020
Liaoning,Mainland China,2020-01-27 20:30:00,27,0,0,01-27-2020
Yunnan,Mainland China,2020-01-27 20:30:00,26,0,0,01-27-2020
Tianjin,Mainland China,2020-01-27 20:30:00,23,0,0,01-27-2020
Shanxi,Mainland China,2020-01-27 20:30:00,20,0,0,01-27-2020
Gansu,Mainland China,2020-01-27 20:30:00,19,0,0,01-27-2020
Nei Mongol,Mainland China,2020-01-27 20:30:00,11,0,0,01-27-2020
Guizhou,Mainland China,2020-01-27 20:30:00,9,0,0,01-27-2020
Hong Kong,Hong Kong,2020-01-27 20:30:00,8,0,0,01-27-2020
Thailand,Thailand,2020-01-27 20:30:00,8,0,2,01-27-2020
Ningxia,Mainland China,2020-01-27 20:30:00,7,0,0,01-27-2020
Jilin,Mainland China,2020-01-27 20:30:00,6,0,0,01-27-2020
